,Ag,Al2O3,As,Au,Bi,CaO,Cu,Fe,H2O,MgO,Ni,Pb,S,Sb,SiO2,Zn,clean,delete,inventory,number,calculatePercentage,required,cohesion,consumed_amounts,productionTime,fixed
scb,0,1.87,0.0033,1,0,0.22,19.92,25.89,4.35,0.18,0,0.08,33.46,0,4.47,0.063,0,FALSE,209,10009,0.24,0,0,1091,36.11,0
zjk,0,2.07,1.92,1,0,1.1,21.68,30.19,8.4,0.83,0,1.56,10.07,0,9.09,1.11,0,FALSE,1682,10005,0.07,0,0,318,190.48,0
scb37,0,1.79,0.16,1,0,0.84,19.59,27.51,6,0.53,0,0.42,30.46,0,6.34,0.28,0,FALSE,773,10010,0.16,0,0,727,62.5,0
hjq,0,1.54,0.25,1,0,0.29,19.71,26.64,6.94,0.91,0,1.43,32.12,0,3.3,4.46,0,FALSE,0,10012,0.33,0,0,1500,30.3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Matte_Cu_Percentage,74,,,,,,,,,,,,,,,,,,,,,,,,,
Matte_Fe_Percentage,3.5,,,,,,,,,,,,,,,,,,,,,,,,,
Matte_S_Percentage,20.84,,,,,,,,,,,,,,,,,,,,,,,,,
Slag_Cu_Percentage,1.99,,,,,,,,,,,,,,,,,,,,,,,,,
Slag_S_Percentage,0.45,,,,,,,,,,,,,,,,,,,,,,,,,
Slag_Fe_Percentage,48,,,,,,,,,,,,,,,,,,,,,,,,,
Slag_SiO2_Percentage,24,,,,,,,,,,,,,,,,,,,,,,,,,
OXYGEN_PEER_COAL,1100,,,,,,,,,,,,,,,,,,,,,,,,,
COAL_T,1.5,,,,,,,,,,,,,,,,,,,,,,,,,
Fe_vs_SiO2,2,,,,,,,,,,,,,,,,,,,,,,,,,
Fe2O3_vs_FeO,0.666667,,,,,,,,,,,,,,,,,,,,,,,,,
Flow,160,,,,,,,,,,,,,,,,,,,,,,,,,
MAX_TYPE_TO_SEARCH,4,,,,,,,,,,,,,,,,,,,,,,,,,
OXYGEN_CONCENTRATION,85,,,,,,,,,,,,,,,,,,,,,,,,,
OxygenMaterialRatio,230,,,,,,,,,,,,,,,,,,,,,,,,,
RecallRate,0.98,,,,,,,,,,,,,,,,,,,,,,,,,
