name,when_comes_in,volume_of_storage,number,Cu,Fe,S,SiO2,CaO,As,Zn,Pb,MgO,Al2O3,H2O,required,ratio,clean
水星轮,2020/4/10 0:20,15000,10001,24.78,25.78,32.45,6.38,0.18,0.14,0.26,0.05,0.21,1.92,9.36,0,0,0
莱科塔,2020/4/11 0:20,6000,10002,24.01,31.02,33.85,3.1,0.09,0.16,0.35,0.12,0.31,1.8,8.5,0,0,0
古北,2020/4/16 0:20,6000,10007,27.78,22.78,26.45,8.38,1.18,0.14,1.2,1.05,1.21,1.92,8.3,0,0,0
马尼拉精神,2020/4/15 0:20,2000,10006,28.78,21.78,29.45,8.38,0.18,0.14,0.2,0.05,0.21,1.92,9.33,0,0,0
慧金桥292柜,2020/4/10 0:34,1500,10009,19.71,26.64,32.12,3.30,0.29,0.25,4.46,1.43,0.91,1.54,6.94,0,0,0
慧金桥87柜,2020/4/10 0:35,1500,10010,20.79,26.19,33.98,2.76,0.18,0.0001,0.11,0.082,0.19,1.65,4.30,0,0,0
苏察布73柜,2020/4/10 0:30,1500,10011,19.23,26.56,28.85,7.42,0.75,0.23,0.26,0.25,0.62,1.83,7.95,1,0,1
苏察布64柜,2020/4/10 0:31,1500,10012,19.59,27.51,30.46,6.34,0.84,0.16,0.28,0.42,0.53,1.79,6.00,0,0,0
苏察布52柜,2020/4/10 0:32,1300,10013,19.92,25.89,33.46,4.47,0.22,0.0033,0.063,0.080,0.18,1.87,4.35,0,0,0
方舟,2020/4/13 0:20,1300,10004,66.05,1.16,13.92,6.78,1.58,0,0.02,0.01,1.83,1.29,9.1,0,0,0
马尼拉精神37柜,2020/4/10 0:33,1000,10008,21.99,27.35,31.24,5.72,0.67,0.29,0.24,0.25,0.44,1.64,7.30,0,0,0
和盛,2020/4/12 0:20,500,10003,22.99,29.6,27.59,5.1,0.62,0,0.1,0.05,0.45,2.02,2.25,1,0,1
江门商人,2020/4/14 0:20,300,10005,21.08,30.19,10.07,9.09,1.1,1.92,1.11,1.56,0.83,2.07,8.4,1,0,0
渣精矿烟灰,2020/4/10 0:34,2000,10000,21.68,30.19,10.07,9.09,1.10,1.92,1.11,1.56,0.83,2.07,8.40,1,0.05,0
